abbrev,title,cluster,qid,block,primary_drift,condition,suffix_was_stripped,tokens,d1,d2,d3,d4,total,d1_per1k,d2_per1k,d3_per1k,d4_per1k,total_per1k,tokens_raw,d4_raw,total_raw,d4_per1k_raw,total_per1k_raw
jsm,Autobiography of John Stuart Mill,G1,Q02,1,D3,B,True,138,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,156,1,1,6.41025641025641,6.41025641025641
jsm,Autobiography of John Stuart Mill,G1,Q03,1,D3,A1,False,357,0,1,1,0,2,0.0,2.8011204481792715,2.8011204481792715,0.0,5.602240896358543,357,0,2,0.0,5.602240896358543
jsm,Autobiography of John Stuart Mill,G1,Q03,1,D3,A2,False,295,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,0,0,0.0,0.0
jsm,Autobiography of John Stuart Mill,G1,Q03,1,D3,B,True,144,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,165,1,1,6.0606060606060606,6.0606060606060606
jsm,Autobiography of John Stuart Mill,G1,Q04,2,D1,A1,False,475,0,3,2,0,5,0.0,6.315789473684211,4.2105263157894735,0.0,10.526315789473683,475,0,5,0.0,10.526315789473683
jsm,Autobiography of John Stuart Mill,G1,Q04,2,D1,A2,False,370,0,5,0,1,6,0.0,13.513513513513514,0.0,2.7027027027027026,16.216216216216218,370,1,6,2.7027027027027026,16.216216216216218
jsm,Autobiography of John Stuart Mill,G1,Q04,2,D1,B,True,148,0,1,0,0,1,0.0,6.756756756756757,0.0,0.0,6.756756756756757,167,1,2,5.9880239520958085,11.976047904191617
jsm,Autobiography of John Stuart Mill,G1,Q05,2,D1,A1,False,567,2,2,2,0,6,3.527336860670194,3.527336860670194,3.527336860670194,0.0,10.582010582010582,567,0,6,0.0,10.582010582010582
jsm,Autobiography of John Stuart Mill,G1,Q05,2,D1,A2,False,387,1,2,2,2,7,2.5839793281653747,5.167958656330749,5.167958656330749,5.167958656330749,18.08785529715762,387,2,7,5.167958656330749,18.08785529715762
jsm,Autobiography of John Stuart Mill,G1,Q05,2,D1,B,True,141,0,1,0,0,1,0.0,7.092198581560283,0.0,0.0,7.092198581560283,160,1,2,6.25,12.5
jsm,Autobiography of John Stuart Mill,G1,Q06,3,D2,A1,False,684,4,2,2,0,8,5.847953216374268,2.923976608187134,2.923976608187134,0.0,11.695906432748536,684,0,8,0.0,11.695906432748536
jsm,Autobiography of John Stuart Mill,G1,Q06,3,D2,A2,False,449,4,6,1,0,11,8.908685968819599,13.3630289532294,2.2271714922048997,0.0,24.498886414253896,449,0,11,0.0,24.498886414253896
jsm,Autobiography of John Stuart Mill,G1,Q06,3,D2,B,True,148,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,164,1,1,6.097560975609756,6.097560975609756
jsm,Autobiography of John Stuart Mill,G1,Q07,3,D2,A1,False,395,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,395,0,0,0.0,0.0
jsm,Autobiography of John Stuart Mill,G1,Q07,3,D2,A2,False,382,2,2,0,0,4,5.235602094240838,5.235602094240838,0.0,0.0,10.471204188481677,382,0,4,0.0,10.471204188481677
jsm,Autobiography of John Stuart Mill,G1,Q07,3,D2,B,True,117,0,1,0,0,1,0.0,8.547008547008549,0.0,0.0,8.547008547008549,135,1,2,7.407407407407407,14.814814814814815
jsm,Autobiography of John Stuart Mill,G1,Q08,3,D2,A1,False,624,0,1,2,0,3,0.0,1.6025641025641024,3.205128205128205,0.0,4.807692307692308,624,0,3,0.0,4.807692307692308
